date,price,portfolio_value,long_shares,short_shares,long_position,short_position,cash,long_action,short_action,returns,benchmark_portfolio_value,benchmark_long_shares,benchmark_short_shares,benchmark_long_position,benchmark_short_position,benchmark_cash,benchmark_returns
2015-12-29,0.82163423,2000000.0,1217086.581642665,0.0,1000000.0,0.0,1000000.0,1.0,0.0,0.0,2000000.0000000002,2434173.16328533,0.0,2000000.0000000002,0.0,0.0,0.0
2015-12-30,0.82163423,1998750.0,0.0,0.0,0.0,0.0,1998750.0,0.0,0.0,-0.000625,2000000.0000000002,2434173.16328533,0.0,2000000.0000000002,0.0,0.0,0.0
2015-12-31,0.8145594,1998750.0,0.0,0.0,0.0,0.0,1998750.0,0.0,0.0,0.0,1982778.631580513,2434173.16328533,0.0,1982778.631580513,0.0,0.0,-0.008610684424638748
2016-01-04,0.80406976,1998750.0,0.0,0.0,0.0,0.0,1998750.0,0.0,0.0,0.0,1957245.0250222438,2434173.16328533,0.0,1957245.0250222438,0.0,0.0,-0.012877688743174076
2016-01-05,0.78967637,1998750.0,0.0,0.0,0.0,0.0,1998750.0,0.0,0.0,0.0,1922209.0232420138,2434173.16328533,0.0,1922209.0232420138,0.0,0.0,-0.017900671809911728
2016-01-06,0.8023619,1998750.0,0.0,0.0,0.0,0.0,1998750.0,0.0,0.0,0.0,1953087.8177926526,2434173.16328533,0.0,1953087.8177926526,0.0,0.0,0.016064222902059555
2016-01-07,0.7691842,1998750.0,0.0,0.0,0.0,0.0,1998750.0,0.0,0.0,0.0,1872327.469479827,2434173.16328533,0.0,1872327.469479827,0.0,0.0,-0.04135008528828621
2016-01-08,0.7386899,1998750.0,0.0,0.0,0.0,0.0,1998750.0,0.0,0.0,0.0,1798099.1292179357,2434173.16328533,0.0,1798099.1292179357,0.0,0.0,-0.03964495658874512
2016-01-11,0.7228332,1998750.0,0.0,0.0,0.0,0.0,1998750.0,0.0,0.0,0.0,1759501.2163817442,2434173.16328533,0.0,1759501.2163817442,0.0,0.0,-0.021465953439474106
2016-01-12,0.72405297,1998750.0,0.0,0.0,0.0,0.0,1998750.0,0.0,0.0,0.0,1762470.2977605301,2434173.16328533,0.0,1762470.2977605301,0.0,0.0,0.001687456271611154
2016-01-13,0.7362505,1998750.0,0.0,0.0,0.0,0.0,1998750.0,0.0,0.0,0.0,1792161.2566364172,2434173.16328533,0.0,1792161.2566364172,0.0,0.0,0.016846217215061188
2016-01-14,0.7138066,1998750.0,0.0,0.0,0.0,0.0,1998750.0,0.0,0.0,0.0,1737528.94052733,2434173.16328533,0.0,1737528.94052733,0.0,0.0,-0.030484041199088097
2016-01-15,0.6994135,1998750.0,0.0,0.0,0.0,0.0,1998750.0,0.0,0.0,0.0,1702493.5190992067,2434173.16328533,0.0,1702493.5190992067,0.0,0.0,-0.02016393467783928
2016-01-19,0.66135705,1998750.0,0.0,0.0,0.0,0.0,1998750.0,0.0,0.0,0.0,1609857.5707113703,2434173.16328533,0.0,1609857.5707113703,0.0,0.0,-0.05441192537546158
2016-01-20,0.66672397,1998750.0,0.0,0.0,0.0,0.0,1998750.0,0.0,0.0,0.0,1622921.5868132396,2434173.16328533,0.0,1622921.5868132396,0.0,0.0,0.008115014061331749
2016-01-21,0.670383,1998750.0,0.0,0.0,0.0,0.0,1998750.0,0.0,0.0,0.0,1631828.2505974907,2434173.16328533,0.0,1631828.2505974907,0.0,0.0,0.005488043185323477
2016-01-22,0.6781898,1998750.0,0.0,0.0,0.0,0.0,1998750.0,0.0,0.0,0.0,1650831.4450731191,2434173.16328533,0.0,1650831.4450731191,0.0,0.0,0.01164533942937851
2016-01-25,0.69404674,1998750.0,0.0,0.0,0.0,0.0,1998750.0,0.0,0.0,0.0,1689429.9382614177,2434173.16328533,0.0,1689429.9382614177,0.0,0.0,0.023381244391202927
2016-01-26,0.6933148,1998750.0,0.0,0.0,0.0,0.0,1998750.0,0.0,0.0,0.0,1687648.2572933033,2434173.16328533,0.0,1687648.2572933033,0.0,0.0,-0.001054604770615697
2016-01-27,0.7001453,1998750.0,0.0,0.0,0.0,0.0,1998750.0,0.0,0.0,0.0,1704274.9098912675,2434173.16328533,0.0,1704274.9098912675,0.0,0.0,0.009851966053247452
2016-01-28,0.691851,1997965.9037292004,906664.8723987782,0.0,627277.0166397095,0.0,1370688.887089491,0.627277,0.0,-0.0003922933187240209,1684085.185533128,2434173.16328533,0.0,1684085.185533128,0.0,0.0,-0.011846518144011497
2016-01-29,0.68428844,1990634.7055279901,1461372.0449233067,0.0,1000000.0,0.0,990634.7055279901,1.0,0.0,-0.003669330986843453,1665676.5617909958,2434173.16328533,0.0,1665676.5617909958,0.0,0.0,-0.010930933989584446
2016-02-01,0.71453875,2032399.4635773269,68421.20980118774,1341345.2535045338,48889.60593232836,958443.1648254395,2941953.022470438,0.0,0.95844316,0.02098062388511365,1739311.0567595244,2434173.16328533,0.0,1739311.0567595244,0.0,0.0,0.04420695826411247
2016-02-02,0.71478266,2030821.574367656,145599.71874730813,0.0,104072.15356826784,0.0,1926749.420799388,0.10407215,0.0,-0.0007763676570223184,1739904.7569648603,2434173.16328533,0.0,1739904.7569648603,0.0,0.0,0.00034134218003600836
2016-02-03,0.68453234,2026292.5529629018,0.0,0.0,0.0,0.0,2026292.5529629018,0.0,0.0,-0.0022301424516648414,1666270.2619963316,2434173.16328533,0.0,1666270.2619963316,0.0,0.0,-0.042320992797613144
2016-02-04,0.68794763,2026292.5529629018,0.0,0.0,0.0,0.0,2026292.5529629018,0.0,0.0,0.0,1674583.6608393271,2434173.16328533,0.0,1674583.6608393271,0.0,0.0,0.004989225883036852
2016-02-05,0.6881917,2025921.7497482924,0.0,431046.41709151294,0.0,296642.57168769836,2322564.3214359907,0.0,0.29664257,-0.00018299589270423527,1675177.796308743,2434173.16328533,0.0,1675177.796308743,0.0,0.0,0.0003547959204297513
2016-02-08,0.644768,2044159.9498631838,163816.1928195025,0.0,105623.43895435335,0.0,1938536.5109088304,0.10562344,0.0,0.009002420807791504,1569476.9612908773,2434173.16328533,0.0,1569476.9612908773,0.0,0.0,-0.06309828162193298
2016-02-09,0.6152497,2039198.3884859474,0.0,0.0,0.0,0.0,2039198.3884859474,0.0,0.0,-0.0024271884289526684,1497624.2923784899,2434173.16328533,0.0,1497624.2923784899,0.0,0.0,-0.04578128457069397
2016-02-10,0.6218364,2039198.3884859474,0.0,0.0,0.0,0.0,2039198.3884859474,0.0,0.0,0.0,1513657.5349471718,2434173.16328533,0.0,1513657.5349471718,0.0,0.0,0.01070578396320343
2016-02-11,0.620373,2039198.3884859474,0.0,0.0,0.0,0.0,2039198.3884859474,0.0,0.0,0.0,1510095.333715157,2434173.16328533,0.0,1510095.333715157,0.0,0.0,-0.0023533732164651155
2016-02-12,0.6172013,2039198.3884859474,0.0,0.0,0.0,0.0,2039198.3884859474,0.0,0.0,0.0,1502374.9096373634,2434173.16328533,0.0,1502374.9096373634,0.0,0.0,-0.0051125409081578255
2016-02-16,0.62769127,2038618.406831065,681898.7757185702,57294.752819129055,428021.9078063965,35963.41609954834,1646559.9151242168,0.4280219,0.035963416,-0.00028441649334229443,1527909.241635766,2434173.16328533,0.0,1527909.241635766,0.0,0.0,0.016995979472994804
2016-02-17,0.6584294,2057144.5311133955,1442339.3344493315,0.0,949678.599834442,0.0,1107465.9312789533,0.9496786,0.0,0.009087588054857447,1602731.1370149662,2434173.16328533,0.0,1602731.1370149662,0.0,0.0,0.048970118165016174
2016-02-18,0.6747742,2080685.911164193,1481977.1654612343,0.0,1000000.0000000001,0.0,1080685.9111641927,1.0,0.0,0.01144371710142121,1642517.32078999,2434173.16328533,0.0,1642517.32078999,0.0,0.0,0.0248239915817976
2016-02-19,0.7328353,2166076.569456592,767479.1475124393,0.0,562435.8057975769,0.0,1603640.7636590153,0.5624358,0.0,0.04103966765681667,1783848.0028814483,2434173.16328533,0.0,1783848.0028814483,0.0,0.0,0.08604516834020615
2016-02-22,0.7425933,2173028.0336852404,1346632.1546286563,0.0,1000000.0,0.0,1173028.0336852404,1.0,0.0,0.003209242150840565,1807600.6539117366,2434173.16328533,0.0,1807600.6539117366,0.0,0.0,0.013315401040017605
2016-02-23,0.76894027,2208507.72618478,1346632.1546286563,0.0,1035479.6924995392,0.0,1173028.0336852404,1.0,0.0,0.016327305469395766,1871733.7692744911,2434173.16328533,0.0,1871733.7692744911,0.0,0.0,0.03547969087958336
2016-02-24,0.77089185,2210623.80977031,815330.1922716646,0.0,628531.3963890076,0.0,1582092.4133813023,0.6285314,0.0,0.000958150863789646,1876484.2414453381,2434173.16328533,0.0,1876484.2414453381,0.0,0.0,0.0025380062870681286
2016-02-25,0.7762588,2214208.537372439,0.0,0.0,0.0,0.0,2214208.537372439,0.0,0.0,0.0016215909673486235,1889548.402635234,2434173.16328533,0.0,1889548.402635234,0.0,0.0,0.00696204137057066
2016-02-26,0.77796644,2214208.537372439,0.0,0.0,0.0,0.0,2214208.537372439,0.0,0.0,0.0,1893705.0295127183,2434173.16328533,0.0,1893705.0295127183,0.0,0.0,0.0021997990552335978
2016-02-29,0.7728435,2214208.537372439,0.0,0.0,0.0,0.0,2214208.537372439,0.0,0.0,0.0,1881234.8587042117,2434173.16328533,0.0,1881234.8587042117,0.0,0.0,-0.006585065275430679
2016-03-01,0.7678242,2214208.537372439,0.0,0.0,0.0,0.0,2214208.537372439,0.0,0.0,0.0,1869016.99597417,2434173.16328533,0.0,1869016.99597417,0.0,0.0,-0.006494597066193819
2016-03-02,0.8018572,2214208.537372439,0.0,0.0,0.0,0.0,2214208.537372439,0.0,0.0,0.0,1951859.2123823927,2434173.16328533,0.0,1951859.2123823927,0.0,0.0,0.04432395100593567
2016-03-03,0.8065095,2214208.537372439,0.0,0.0,0.0,0.0,2214208.537372439,0.0,0.0,0.0,1963183.768131923,2434173.16328533,0.0,1963183.768131923,0.0,0.0,0.0058019328862428665
2016-03-04,0.7994088,2214208.537372439,0.0,0.0,0.0,0.0,2214208.537372439,0.0,0.0,0.0,1945899.4315088394,2434173.16328533,0.0,1945899.4315088394,0.0,0.0,-0.008804237470030785
2016-03-07,0.7969604,2214208.537372439,0.0,0.0,0.0,0.0,2214208.537372439,0.0,0.0,0.0,1939939.6506352862,2434173.16328533,0.0,1939939.6506352862,0.0,0.0,-0.00306273833848536
2016-03-08,0.7918188,2214208.537372439,0.0,0.0,0.0,0.0,2214208.537372439,0.0,0.0,0.0,1927424.0672744163,2434173.16328533,0.0,1927424.0672744163,0.0,0.0,-0.006451532244682312
2016-03-09,0.77737296,2214208.537372439,0.0,0.0,0.0,0.0,2214208.537372439,0.0,0.0,0.0,1892260.3880306731,2434173.16328533,0.0,1892260.3880306731,0.0,0.0,-0.018243873491883278
2016-03-10,0.7768833,2214208.537372439,0.0,0.0,0.0,0.0,2214208.537372439,0.0,0.0,0.0,1891068.4898911733,2434173.16328533,0.0,1891068.4898911733,0.0,0.0,-0.0006298806401900947
2016-03-11,0.7756592,2214208.537372439,0.0,0.0,0.0,0.0,2214208.537372439,0.0,0.0,0.0,1888088.8170864368,2434173.16328533,0.0,1888088.8170864368,0.0,0.0,-0.001575655653141439
2016-03-14,0.78888065,2214131.6979514947,77922.48047841438,0.0,61471.53675556183,0.0,2152660.161195933,0.061471537,0.0,-3.470288351233449e-05,1920272.0980853098,2434173.16328533,0.0,1920272.0980853098,0.0,0.0,0.01704542711377144
2016-03-15,0.7908394,2213973.9774886165,391866.7828653167,0.0,309903.68127822876,0.0,1904070.2962103877,0.30990368,0.0,-7.123355084259757e-05,1925039.980819363,2434173.16328533,0.0,1925039.980819363,0.0,0.0,0.0024829204194247723
2016-03-16,0.78692186,2211574.2940513166,1270774.2056381141,0.0,1000000.0000000001,0.0,1211574.2940513166,1.0,0.0,-0.0010838805973780931,1915504.0702632298,2434173.16328533,0.0,1915504.0702632298,0.0,0.0,-0.004953616764396429
2016-03-17,0.81042653,2241443.4280348066,1270774.2056381141,0.0,1029869.1339834899,0.0,1211574.2940513166,1.0,0.0,0.013505824364043266,1972718.5179838424,2434173.16328533,0.0,1972718.5179838424,0.0,0.0,0.029869133606553078
2016-03-18,0.8035711,2232616.5715686856,1156130.8429821017,0.0,929033.33902359,0.0,1303583.2325450955,0.92903334,0.0,-0.003938023309319039,1956031.2185907094,2434173.16328533,0.0,1956031.2185907094,0.0,0.0,-0.00845903716981411
2016-03-21,0.82781065,2260525.129913821,1208005.7268109017,59765.70448428821,1000000.0,49474.68638420105,1309999.816298022,1.0,0.049474686,0.012500381256924082,2015034.4565927456,2434173.16328533,0.0,2015034.4565927456,0.0,0.0,0.030164772644639015
2016-03-22,0.830259,2263270.7344714096,1204443.396304301,0.0,1000000.0,0.0,1263270.7344714098,1.0,0.0,0.0012145870538025686,2020994.237466299,2434173.16328533,0.0,2020994.237466299,0.0,0.0,0.002957656979560852
2016-03-23,0.82878995,2260844.4439448277,570389.3507761499,0.0,472732.9611778259,0.0,1788111.4827670017,0.47273296,0.0,-0.0010720284098705462,2017418.2528717455,2434173.16328533,0.0,2017418.2528717455,0.0,0.0,-0.0017694184789434075
2016-03-24,0.84299105,2268343.5614012466,0.0,0.0,0.0,0.0,2268343.5614012466,0.0,0.0,0.003316954192272563,2051986.2006777788,2434173.16328533,0.0,2051986.2006777788,0.0,0.0,0.01713474467396736
2016-03-28,0.84421486,2268343.5614012466,0.0,0.0,0.0,0.0,2268343.5614012466,0.0,0.0,0.0,2054965.1480423817,2434173.16328533,0.0,2054965.1480423817,0.0,0.0,0.0014517385279759765
2016-03-29,0.8527842,2268343.5614012466,0.0,0.0,0.0,0.0,2268343.5614012466,0.0,0.0,0.0,2075824.4536438317,2434173.16328533,0.0,2075824.4536438317,0.0,0.0,0.010150685906410217
2016-03-30,0.86649555,2268132.8089326904,194579.1584358753,0.0,168601.97484493256,0.0,2099530.834087758,0.16860197,0.0,-9.291029460545009e-05,2109200.2131343116,2434173.16328533,0.0,2109200.2131343116,0.0,0.0,0.016078315675258636
2016-03-31,0.8755548,2269682.594347587,0.0,0.0,0.0,0.0,2269682.594347587,0.0,0.0,0.0006832868907820783,2131251.997227368,2434173.16328533,0.0,2131251.997227368,0.0,0.0,0.010455045849084854
2016-04-01,0.87237173,2269682.594347587,0.0,0.0,0.0,0.0,2269682.594347587,0.0,0.0,0.0,2123503.861336471,2434173.16328533,0.0,2123503.861336471,0.0,0.0,-0.0036354856565594673
2016-04-04,0.8851034,2269682.594347587,0.0,0.0,0.0,0.0,2269682.594347587,0.0,0.0,0.0,2154494.954019791,2434173.16328533,0.0,2154494.954019791,0.0,0.0,0.01459431927651167
2016-04-05,0.8765341,2269682.594347587,0.0,0.0,0.0,0.0,2269682.594347587,0.0,0.0,0.0,2133635.793506368,2434173.16328533,0.0,2133635.793506368,0.0,0.0,-0.009681694209575653
2016-04-06,0.8753098,2269682.594347587,0.0,0.0,0.0,0.0,2269682.594347587,0.0,0.0,0.0,2130655.6854375512,2434173.16328533,0.0,2130655.6854375512,0.0,0.0,-0.0013967276317998767
2016-04-07,0.8765341,2269682.594347587,0.0,0.0,0.0,0.0,2269682.594347587,0.0,0.0,0.0,2133635.793506368,2434173.16328533,0.0,2133635.793506368,0.0,0.0,0.0013986811973154545
2016-04-08,0.8674748,2269682.594347587,0.0,0.0,0.0,0.0,2269682.594347587,0.0,0.0,0.0,2111583.8643252845,2434173.16328533,0.0,2111583.8643252845,0.0,0.0,-0.010335376486182213
2016-04-11,0.8731063,2269682.594347587,0.0,0.0,0.0,0.0,2269682.594347587,0.0,0.0,0.0,2125291.9261777615,2434173.16328533,0.0,2125291.9261777615,0.0,0.0,0.006491838488727808
2016-04-12,0.8784928,2269682.594347587,0.0,0.0,0.0,0.0,2269682.594347587,0.0,0.0,0.0,2138403.5311523946,2434173.16328533,0.0,2138403.5311523946,0.0,0.0,0.0061693196184933186
2016-04-13,0.87751335,2269682.594347587,0.0,0.0,0.0,0.0,2269682.594347587,0.0,0.0,0.0,2136019.444697341,2434173.16328533,0.0,2136019.444697341,0.0,0.0,-0.0011148907942697406
2016-04-14,0.8995492,2269682.594347587,0.0,0.0,0.0,0.0,2269682.594347587,0.0,0.0,0.0,2189658.488175507,2434173.16328533,0.0,2189658.488175507,0.0,0.0,0.02511168271303177
2016-04-15,0.9019974,2269682.594347587,0.0,0.0,0.0,0.0,2269682.594347587,0.0,0.0,0.0,2195617.8337849802,2434173.16328533,0.0,2195617.8337849802,0.0,0.0,0.0027215867303311825
2016-04-18,0.9090979,2269682.594347587,0.0,0.0,0.0,0.0,2269682.594347587,0.0,0.0,0.0,2212901.7351439837,2434173.16328533,0.0,2212901.7351439837,0.0,0.0,0.007871999405324459
2016-04-19,0.90518063,2269549.0998922195,117982.59970706706,0.0,106795.56429386139,0.0,2162753.535598358,0.106795564,0.0,-5.8816354189692014e-05,2203366.4049399574,2434173.16328533,0.0,2203366.4049399574,0.0,0.0,-0.004308971576392651
2016-04-20,0.8890209,2267511.4236611673,0.0,0.0,0.0,0.0,2267511.4236611673,0.0,0.0,-0.0008978330678763591,2164030.8645759244,2434173.16328533,0.0,2164030.8645759244,0.0,0.0,-0.017852474004030228
2016-04-21,0.8924487,2267511.4236611673,0.0,0.0,0.0,0.0,2267511.4236611673,0.0,0.0,0.0,2172374.731904531,2434173.16328533,0.0,2172374.731904531,0.0,0.0,0.0038557061925530434
2016-04-22,0.8914695,2267511.4236611673,0.0,0.0,0.0,0.0,2267511.4236611673,0.0,0.0,0.0,2169991.0807135575,2434173.16328533,0.0,2169991.0807135575,0.0,0.0,-0.0010972559684887528
2016-04-25,0.88804173,2267511.4236611673,0.0,0.0,0.0,0.0,2267511.4236611673,0.0,0.0,0.0,2161647.3584729778,2434173.16328533,0.0,2161647.3584729778,0.0,0.0,-0.0038450490683317184
2016-04-26,0.8924487,2267511.4236611673,0.0,0.0,0.0,0.0,2267511.4236611673,0.0,0.0,0.0,2172374.731904531,2434173.16328533,0.0,2172374.731904531,0.0,0.0,0.004962591920047998
2016-04-27,0.8931832,2267175.301818902,301055.2396386097,0.0,268897.4738121033,0.0,1998277.8280067989,0.26889747,0.0,-0.00014823380326014867,2174162.5065697674,2434173.16328533,0.0,2174162.5065697674,0.0,0.0,0.0008229587110690773
2016-04-28,0.9135051,2273081.292077819,143086.74460096494,27712.710732404234,130710.46769618988,25315.701961517334,2167686.5263431463,0.13071047,0.025315702,0.0026049993814675505,2223629.543839617,2434173.16328533,0.0,2223629.543839617,0.0,0.0,0.022752225399017334
2016-04-29,0.8863278,2269756.509938154,0.0,0.0,0.0,0.0,2269756.509938154,0.0,0.0,-0.001462676302538131,2157475.352264661,2434173.16328533,0.0,2157475.352264661,0.0,0.0,-0.02975054457783699
2016-05-02,0.8699235,2269756.509938154,0.0,0.0,0.0,0.0,2269756.509938154,0.0,0.0,0.0,2117544.3706389717,2434173.16328533,0.0,2117544.3706389717,0.0,0.0,-0.018508197739720345
2016-05-03,0.8814307,2269756.509938154,0.0,0.0,0.0,0.0,2269756.509938154,0.0,0.0,0.0,2145554.919989394,2434173.16328533,0.0,2145554.919989394,0.0,0.0,0.013227845542132854
2016-05-04,0.8709026,2269756.509938154,0.0,0.0,0.0,0.0,2269756.509938154,0.0,0.0,0.0,2119927.731653891,2434173.16328533,0.0,2119927.731653891,0.0,0.0,-0.011944317258894444
2016-05-05,0.8510705,2269756.509938154,0.0,0.0,0.0,0.0,2269756.509938154,0.0,0.0,0.0,2071653.0277876218,2434173.16328533,0.0,2071653.0277876218,0.0,0.0,-0.022771863266825676
2016-05-06,0.8562122,2269756.509938154,0.0,0.0,0.0,0.0,2269756.509938154,0.0,0.0,0.0,2084168.7562365183,2434173.16328533,0.0,2084168.7562365183,0.0,0.0,0.006041421089321375
2016-05-09,0.86502653,2269756.509938154,0.0,0.0,0.0,0.0,2269756.509938154,0.0,0.0,0.0,2105624.3736277847,2434173.16328533,0.0,2105624.3736277847,0.0,0.0,0.010294567793607712
2016-05-10,0.86380225,2269712.3796649906,0.0,40870.71822167474,0.0,35304.21853065491,2305016.5981956455,0.0,0.03530422,-1.9442734482793085e-05,2102644.2655589683,2434173.16328533,0.0,2102644.2655589683,0.0,0.0,-0.00141530844848603
2016-05-11,0.8804514,2268986.9370360835,0.0,0.0,0.0,0.0,2268986.9370360835,0.0,0.0,-0.0003196187479111847,2143171.1237103944,2434173.16328533,0.0,2143171.1237103944,0.0,0.0,0.019274234771728516
2016-05-12,0.88290006,2268888.3192141517,0.0,89358.08387518603,0.0,78894.25754547119,2347782.576759623,0.0,0.07889426,-4.346337139369378e-05,2149131.630024081,2434173.16328533,0.0,2149131.630024081,0.0,0.0,0.0027811620384454727
2016-05-13,0.8709026,2268613.1116347434,1148234.030311154,0.0,1000000.0,0.0,1268613.1116347432,1.0,0.0,-0.00012129622118360901,2119927.731653891,2434173.16328533,0.0,2119927.731653891,0.0,0.0,-0.013588696718215942
2016-05-16,1.003362,2420517.4551058095,996649.2059759926,0.0,1000000.0,0.0,1420517.4551058093,1.0,0.0,0.06695912259874277,2442356.998520465,2434173.16328533,0.0,2442356.998520465,0.0,0.0,0.15209446847438812
2016-05-17,1.0329881,2450044.196290802,996649.2059759926,0.0,1029526.7411849928,0.0,1420517.4551058093,1.0,0.0,0.012198524378623824,2514471.8414971344,2434173.16328533,0.0,2514471.8414971344,0.0,0.0,0.029526740312576294
2016-05-18,1.0351915,2452240.277443153,996649.2059759926,0.0,1031722.8223373437,0.0,1420517.4551058093,1.0,0.0,0.0008963434846095254,2519835.455668898,2434173.16328533,0.0,2519835.455668898,0.0,0.0,0.002133097732439637
2016-05-19,1.0616345,2478138.6197169195,652984.9749080245,0.0,693231.4038276672,0.0,1784907.2158892523,0.6932314,0.0,0.010561094894326483,2584202.307842697,2434173.16328533,0.0,2584202.307842697,0.0,0.0,0.025544069707393646
2016-05-20,1.0662864,2481065.2989269854,569747.097122428,0.0,607513.6065483093,0.0,1873551.692378676,0.6075136,0.0,0.0011809989912510148,2595525.8479760406,2434173.16328533,0.0,2595525.8479760406,0.0,0.0,0.004381831735372543
2016-05-23,1.0853845,2491173.360411953,0.0,0.0,0.0,0.0,2491173.360411953,0.0,0.0,0.004074081197838433,2642013.7927932604,2434173.16328533,0.0,2642013.7927932604,0.0,0.0,0.017910800874233246
2016-05-24,1.0870985,2491173.360411953,0.0,0.0,0.0,0.0,2491173.360411953,0.0,0.0,0.0,2646185.9440896036,2434173.16328533,0.0,2646185.9440896036,0.0,0.0,0.0015791557962074876
2016-05-25,1.1134869,2491173.360411953,0.0,0.0,0.0,0.0,2491173.360411953,0.0,0.0,0.0,2710419.895630928,2434173.16328533,0.0,2710419.895630928,0.0,0.0,0.02427416481077671
2016-05-26,1.1088233,2491173.360411953,0.0,0.0,0.0,0.0,2491173.360411953,0.0,0.0,0.0,2699067.918244348,2434173.16328533,0.0,2699067.918244348,0.0,0.0,-0.004188272636383772
2016-05-27,1.1206058,2491173.360411953,0.0,0.0,0.0,0.0,2491173.360411953,0.0,0.0,0.0,2727748.629190188,2434173.16328533,0.0,2727748.629190188,0.0,0.0,0.010626154020428658
2016-05-31,1.1267424,2491173.360411953,0.0,0.0,0.0,0.0,2491173.360411953,0.0,0.0,0.0,2742686.021893058,2434173.16328533,0.0,2742686.021893058,0.0,0.0,0.005476088263094425
2016-06-01,1.1468717,2491173.360411953,0.0,0.0,0.0,0.0,2491173.360411953,0.0,0.0,0.0,2791684.279748577,2434173.16328533,0.0,2791684.279748577,0.0,0.0,0.01786506362259388
2016-06-02,1.1490813,2490944.3760932796,0.0,159420.78864900826,0.0,183187.45493888852,2674131.831032168,0.0,0.18318745,-9.191825920767901e-05,2797062.983075119,2434173.16328533,0.0,2797062.983075119,0.0,0.0,0.0019266875460743904
2016-06-03,1.1571819,2489422.3879017266,0.0,0.0,0.0,0.0,2489422.3879017266,0.0,0.0,-0.0006110085018999762,2816781.026258394,2434173.16328533,0.0,2816781.026258394,0.0,0.0,0.007049552630633116
2016-06-06,1.1409802,2489356.599610332,0.0,46127.55865595624,0.0,52630.63311576843,2541987.2327261004,0.0,0.052630633,-2.642713093383959e-05,2777343.4890115773,2434173.16328533,0.0,2777343.4890115773,0.0,0.0,-0.014000924304127693
2016-06-07,1.1350888,2489562.90886646,0.0,0.0,0.0,0.0,2489562.90886646,0.0,0.0,8.28765377207628e-05,2763002.698274577,2434173.16328533,0.0,2763002.698274577,0.0,0.0,-0.005163492169231176
2016-06-08,1.1372982,2489562.90886646,0.0,0.0,0.0,0.0,2489562.90886646,0.0,0.0,0.0,2768380.8212490124,2434173.16328533,0.0,2768380.8212490124,0.0,0.0,0.001946477685123682
2016-06-09,1.133616,2489562.90886646,0.0,0.0,0.0,0.0,2489562.90886646,0.0,0.0,0.0,2759417.5731343403,2434173.16328533,0.0,2759417.5731343403,0.0,0.0,-0.003237722208723426
2016-06-10,1.1630733,2489562.90886646,0.0,0.0,0.0,0.0,2489562.90886646,0.0,0.0,0.0,2831121.816995394,2434173.16328533,0.0,2831121.816995394,0.0,0.0,0.02598528191447258
2016-06-13,1.1341069,2489562.90886646,0.0,0.0,0.0,0.0,2489562.90886646,0.0,0.0,0.0,2760612.5181224016,2434173.16328533,0.0,2760612.5181224016,0.0,0.0,-0.024905074387788773
2016-06-14,1.1485902,2489035.326623375,367464.21122081793,0.0,422065.794467926,0.0,2066969.532155449,0.4220658,0.0,-0.00021191761863335466,2795867.4577349513,2434173.16328533,0.0,2795867.4577349513,0.0,0.0,0.012770694680511951
2016-06-15,1.1507999,2489719.9364803876,278925.8918607538,0.0,320987.88022994995,0.0,2168732.0562504376,0.32098788,0.0,0.00027505027738648427,2801246.161061493,2434173.16328533,0.0,2801246.161061493,0.0,0.0,0.0019238048698753119
2016-06-16,1.1625822,2492600.978990763,0.0,0.0,0.0,0.0,2492600.978990763,0.0,0.0,0.001157175338543575,2829926.291655226,2434173.16328533,0.0,2829926.291655226,0.0,0.0,0.010238347575068474
2016-06-17,1.1672467,2492600.978990763,0.0,0.0,0.0,0.0,2492600.978990763,0.0,0.0,0.0,2841280.590450234,2434173.16328533,0.0,2841280.590450234,0.0,0.0,0.004012224264442921
2016-06-20,1.1468717,2492600.978990763,0.0,0.0,0.0,0.0,2492600.978990763,0.0,0.0,0.0,2791684.279748577,2434173.16328533,0.0,2791684.279748577,0.0,0.0,-0.01745561882853508
2016-06-21,1.1674922,2492600.978990763,0.0,0.0,0.0,0.0,2492600.978990763,0.0,0.0,0.0,2841878.062944264,2434173.16328533,0.0,2841878.062944264,0.0,0.0,0.01797974854707718
2016-06-22,1.1603736,2492600.978990763,0.0,0.0,0.0,0.0,2492600.978990763,0.0,0.0,0.0,2824550.199913165,2434173.16328533,0.0,2824550.199913165,0.0,0.0,-0.006097327917814255
2016-06-23,1.159391,2492600.978990763,0.0,0.0,0.0,0.0,2492600.978990763,0.0,0.0,0.0,2822158.5688807224,2434173.16328533,0.0,2822158.5688807224,0.0,0.0,-0.0008467298466712236
2016-06-24,1.1903213,2492600.978990763,0.0,0.0,0.0,0.0,2492600.978990763,0.0,0.0,0.0,2897448.2280580658,2434173.16328533,0.0,2897448.2280580658,0.0,0.0,0.026678040623664856
2016-06-27,1.1225693,2492600.978990763,0.0,0.0,0.0,0.0,2492600.978990763,0.0,0.0,0.0,2732528.1189663787,2434173.16328533,0.0,2732528.1189663787,0.0,0.0,-0.05691908672451973
2016-06-28,1.1105413,2492600.978990763,0.0,0.0,0.0,0.0,2492600.978990763,0.0,0.0,0.0,2703249.9355265084,2434173.16328533,0.0,2703249.9355265084,0.0,0.0,-0.010714687407016754
2016-06-29,1.1267424,2492600.978990763,0.0,0.0,0.0,0.0,2492600.978990763,0.0,0.0,0.0,2742686.021893058,2434173.16328533,0.0,2742686.021893058,0.0,0.0,0.014588397927582264
